orig_symbol	logFC	logCPM	F	PValue	FDR
Gm49519	-14.313016242440805	9.399361951204968	25146.990462329355	0	0
2610306M01Rik	-14.312972912151249	9.398142500301395	25077.7059832751	0	0
Gm36539	-14.312858512689875	9.396797552068008	25006.52385911952	0	0
Tmem26	-14.312657510791658	9.39902520762629	25126.116255949055	0	0
Gm5087	-14.312626939274438	9.398997996495371	25123.794400616298	0	0
Dleu7	-14.312526968819817	9.398879775985248	25119.3597587868	0	0
Jag1	-14.312497140593084	9.399765058008887	25164.30903597127	0	0
Aebp1	-14.31230277194529	9.401105415271278	25234.72639732318	0	0
Ccdc142os	-14.312130038364364	9.399732676512132	25164.633027115677	0	0
Phex	-14.312106286865824	9.399594287750803	25155.894269898556	0	0
Mfsd4b1	-14.312008743167393	9.398990539536962	25124.493247159084	0	0
Igfbp3	-14.31192800752883	9.402490083838043	25304.480145641628	0	0
1110015O18Rik	-14.311906729173232	9.398058828061384	25073.06785663666	0	0
Ppil1	-14.311785881201544	9.399626724913775	25156.97598877397	0	0
Syde1	-14.311778879302747	9.398885457778189	25118.186384890163	0	0
Pitx1	-14.311657974495112	9.39777115264376	25058.36927482287	0	0
Ifit2	-14.311625553224681	9.400068287451008	25178.94354700886	0	0
Ednra	-14.311575601469404	9.400027627952971	25176.104238565647	0	0
Cchcr1	-14.311493451743655	9.397391280657885	25034.800134727444	0	0
Aoc2	-14.311210040332412	9.39812076048993	25075.665462864825	0	0
Zfp217	-14.311073467049525	9.400165938419256	25184.102512099937	0	0
Homer3	-14.31107066077385	9.399623911881422	25155.60279033541	0	0
2010109A12Rik	-14.310727484664026	9.398638711416343	25103.04798557322	0	0
Gm44854	-14.310576121126136	9.400044566741238	25175.957195462932	0	0
Alox5	-14.31056622139959	9.400375058844904	25194.829628626034	0	0
Pcdhb21	-14.31052196990985	9.397462099067502	25037.461827442796	0	0
Gm28610	-14.310500461194572	9.402025091990517	25279.320414816917	0	0
Gm5784	-14.310485332264467	9.398195486483804	25077.244809982738	0	0
Gm45820	-14.310381815882135	9.39987524469815	25168.847341452554	0	0
Cand2	-14.310354999695642	9.399932910625441	25170.236420924288	0	0
Atp1a4	-14.310332938802167	9.398847156404026	25112.733978875545	0	0
Mcm10	-14.310311268789471	9.39971032334152	25159.511749424935	0	0
Rnf26	-14.31020669611919	9.3993819103629	25142.060103592736	0	0
Id3	-14.31009448152455	9.399184269113167	25128.216314330744	0	0
Cfap100	-14.31009165442161	9.399067189530049	25123.23627720706	0	0
Fgfrl1	-14.309997411204119	9.398718904836425	25103.976895937336	0	0
